Fecha Transacción,Recorrido,Rendimiento_kmpl,TON C02,num_vehículos
2021-01-01,339.0,1699.92643532372,4.195835099999999,12
2021-01-02,331.3,1719.6417567204107,5.640276329999998,27
2021-01-03,514.8095238095239,2315.5886153086385,4.711120739999998,21
2021-01-04,329.21875,1967.777809516232,7.076897729999998,30
2021-01-05,656.2413793103449,1546.320532805393,6.944832179999999,29
2021-01-06,1290.7837837837837,1705.5926110447267,6.997464719999998,34
2021-01-07,20254.697674418603,1630.028989880551,11.203129079999998,39
2021-01-08,258.70588235294116,1802.9466545476478,4.310251559999998,33
2021-01-09,260.7586206896552,2336.225481801061,6.798361679999998,27
2021-01-10,396.3333333333333,1416.0541848116472,3.2576491799999996,15
2021-01-11,1151.8333333333333,1832.8843859953206,5.954037929999998,33
2021-01-12,373.75757575757575,1554.7498837764447,6.8156718299999985,32
2021-01-13,1408.9756097560976,2199.027867442185,6.263320679999999,40
2021-01-14,273.2,1706.0908758549651,5.5101717899999985,33
2021-01-15,391.7,1931.4484949232663,7.621840619999999,29
2021-01-16,331.8292682926829,1391.1058924035194,8.954141129999998,40
2021-01-17,296.3666666666667,1763.1920144998708,5.184014669999998,29
2021-01-18,323.2413793103448,1921.5425938727633,5.231199959999999,29
2021-01-19,311.6666666666667,1457.898513164344,7.788308579999999,31
2021-01-20,282.7352941176471,1451.9652362835677,6.020881739999998,34
2021-01-21,272.1463414634146,1576.4578478107921,7.485368849999998,40
2021-01-22,288.7631578947368,1998.2420586388705,6.466418369999998,36
2021-01-23,17816.51219512195,1846.4975895120601,8.394696449999998,38
2021-01-24,238.35714285714286,1926.843438174837,4.776390899999999,27
2021-01-25,305.48837209302326,1912.8632929055948,7.001919359999998,42
2021-01-26,1469.7631578947369,2108.101318120618,8.418567509999997,37
2021-01-27,915.125,2320.734654759955,4.917995189999998,31
2021-01-28,268.0,1429.9926672334234,9.237737069999998,45
2021-01-29,3049.25641025641,1890.6089351885446,7.543327589999998,36
2021-01-30,293.3125,2725.7953430669822,6.336967499999998,31
2021-01-31,16779.35714285714,2593.1604276104017,4.9009271399999985,28
2021-02-01,80.0,2053.6253776435046,0.06410808,1
2021-02-02,167051.25,5547.162882260594,0.3584048399999999,4
2021-02-03,187.6,3111.7257214940078,0.49937966999999966,5
2021-02-04,393.6666666666667,2159.6231506171853,3.1836634199999994,14
2021-02-05,5851.807692307692,2769.208720415775,4.2150094199999995,24
2021-02-06,1073.1538461538462,6607.288939199286,1.4514379199999996,12
2021-02-07,2650.0,1952.5335721924005,3.5348778899999993,22
2021-02-08,22775.0,3678.337965642173,4.195375109999999,26
2021-02-09,326.7857142857143,1675.9920057287818,3.785451389999999,26
2021-02-10,288.54901960784315,2547.450134832721,10.252571849999997,47
2021-02-11,392.72972972972974,1954.0997208598742,5.111457299999998,34
2021-02-12,3287.0,1879.5308312564302,7.230728069999999,32
2021-02-13,369.17241379310343,2275.5825975204366,4.4389034999999994,29
2021-02-14,296.65384615384613,2204.2050949020895,6.021801719999999,23
2021-02-15,303.0,1564.656976265803,4.158091709999999,24
2021-02-16,19423.14285714286,3138.574709427196,4.840498979999999,34
2021-02-17,278.77142857142854,1910.5541196527188,5.972292269999999,35
2021-02-18,274.57575757575756,3046.1602458796956,5.2778768399999985,31
2021-02-19,607.5945945945946,4199.167477936253,4.787842229999999,36
2021-02-20,277.3703703703704,1849.9976978097877,3.7169370899999987,26
2021-02-21,420.875,1760.7221881200637,4.508386199999999,24
2021-02-22,287.4193548387097,2257.027188071231,4.475509019999999,29
2021-02-23,253.87179487179486,2323.19047346106,5.502303539999999,36
2021-02-24,388.5,2312.638754089613,4.103885519999999,30
2021-02-25,285.6969696969697,1738.3728416930849,5.909951519999999,31
2021-02-26,2001.0,2598.440843808594,8.707586489999997,43
2021-02-27,407.3333333333333,2116.8136455137155,7.086920669999998,38
2021-02-28,299.05882352941177,2219.851821894447,2.655255959999999,16
2021-03-01,285.15909090909093,2000.868524328161,6.188511779999999,43
2021-03-02,7360.133333333333,1972.4709974606537,7.908922799999998,44
2021-03-03,55342.242424242424,3407.0043713466735,4.957530119999999,32
2021-03-04,509.9591836734694,1567.3721366266218,12.581525429999997,46
2021-03-05,353.7674418604651,1929.6929159912136,7.0360070399999985,42
2021-03-06,24486.40625,2761.280566957786,5.760430559999999,29
2021-03-07,338.84375,1913.4114377912726,8.80764642,28
2021-03-08,25185.043478260868,2549.9611572844174,9.280370879999998,44
2021-03-09,4621.744680851064,2097.8432209513066,6.272181539999998,46
2021-03-10,380.34285714285716,3874.7685303224766,6.194152709999998,34
2021-03-11,1198.2285714285715,3142.9511464104758,5.907288419999998,33
2021-03-12,357.9818181818182,3028.4107800420225,9.452140829999998,49
2021-03-13,19043.682926829268,2240.8282763196485,8.637377489999999,38
2021-03-14,3768.2916666666665,3372.9428455186685,7.353472769999999,22
2021-03-15,1375.2954545454545,1590.9757979850701,13.689060299999998,42
2021-03-16,556.3846153846154,2300.965411647585,9.383795999999998,49
2021-03-17,3395.4347826086955,3377.5152216994707,10.943041049999998,42
2021-03-18,980.875,2668.933640008648,9.480054959999999,39
2021-03-19,551.8666666666667,2536.4573828782713,8.603701379999999,41
2021-03-20,340.8695652173913,2440.9564125293577,3.5474428799999993,22
2021-03-21,354.5238095238095,1710.5287872666245,4.081660739999999,21
2021-03-22,496.07272727272726,3427.7649819108383,10.327695479999997,51
2021-03-23,610.5135135135135,5207.651187119768,8.063987849999998,34
2021-03-24,503.86842105263156,2265.5559689965226,8.819848259999999,35
